file_path,lines,size_kb,last_commit,owner,extension
"src/shared/hooks/index.ts",147,8,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/hooks/useImageRemoval.ts",65,4,"2025-08-06T16:21:35+02:00","Claude","ts"
"src/shared/hooks/useMarkSold.ts",349,12,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/crud/entitySpecificHooks.ts",89,4,"2025-08-09T09:07:44+02:00","Claude","ts"
"src/shared/hooks/crud/collectionEntityConfigs.ts",133,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/hooks/crud/index.ts",35,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/crud/useGenericCrudOperations.ts",627,24,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/useFormSubmission.ts",423,16,"2025-08-09T10:43:38+02:00","Claude","ts"
"src/shared/hooks/usePriceHistory.ts",104,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useCollectionStats.ts",111,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/common/useDataFetch.ts",308,12,"2025-08-09T10:20:48+02:00","Claude","ts"
"src/shared/hooks/common/useLoadingState.ts",252,8,"2025-08-09T10:58:59+02:00","Claude","ts"
"src/shared/hooks/common/useToggle.ts",163,8,"2025-08-09T10:20:48+02:00","Claude","ts"
"src/shared/hooks/common/useSelection.ts",282,8,"2025-08-09T10:20:48+02:00","Claude","ts"
"src/shared/hooks/useDebounce.ts",84,4,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/hooks/usePageLayout.ts",56,4,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useAuction.ts",444,16,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/hooks/useModal.ts",421,12,"2025-08-09T08:49:14+02:00","Claude","ts"
"src/shared/hooks/collection/usePriceManagement.ts",172,8,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/collection/useCollectionItem.ts",134,8,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/collection/useItemOperations.ts",114,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/collection/useImageDownload.ts",118,4,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/useHierarchicalSearch.tsx",360,12,"2025-08-09T18:59:05+02:00","Claude","tsx"
"src/shared/hooks/useAsyncOperation.ts",174,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useDataTable.ts",282,8,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useAnalyticsData.ts",47,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/hooks/__tests__/useGenericCrudOperations.test.ts",41,4,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/hooks/useBaseForm.ts",382,12,"2025-08-09T10:43:38+02:00","Claude","ts"
"src/shared/hooks/useActivity.ts",557,20,"2025-08-06T12:39:38+02:00","Claude","ts"
"src/shared/hooks/useSalesAnalytics.ts",220,8,"2025-08-09T08:51:09+02:00","Claude","ts"
"src/shared/hooks/useUnifiedSearch.ts",781,28,"2025-08-09T18:59:05+02:00","Claude","ts"
"src/shared/hooks/usePageNavigation.ts",130,4,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/hooks/form/useCardSelection.ts",300,12,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/hooks/form/useFormInitialization.ts",237,8,"2025-08-06T19:28:29+02:00","Claude","ts"
"src/shared/hooks/form/useGenericFormState.ts",355,12,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/form/useGenericFormStateAdapter.ts",135,8,"2025-08-09T09:05:27+02:00","Claude","ts"
"src/shared/hooks/form/useCardSelectionState.ts",70,4,"2025-08-08T22:02:03+02:00","Claude","ts"
"src/shared/hooks/form/useFormValidation.ts",441,16,"2025-08-09T15:14:35+02:00","Claude","ts"
"src/shared/hooks/useItemDisplayData.ts",177,8,"2025-08-06T12:50:48+02:00","Claude","ts"
"src/shared/hooks/theme/useAnimationTheme.ts",9,4,"2025-08-09T09:42:23+02:00","Claude","ts"
"src/shared/hooks/theme/useAccessibilityTheme.ts",9,4,"2025-08-09T09:42:23+02:00","Claude","ts"
